domain,ip,traceroute
google.com,216.58.201.14,"traceroute to 216.58.201.14 (216.58.201.14), 30 hops max, 60 byte packets
 1  10.8.1.0  69.314 ms
 2  172.29.172.1  69.563 ms
 3  91.239.23.1  70.203 ms
 4  193.68.68.138  69.541 ms
 5  194.8.8.201  70.167 ms
 6  195.13.208.101  70.161 ms
 7  72.14.217.142  78.401 ms
 8  72.14.237.55  82.185 ms
 9  108.170.233.10  83.048 ms
10  *
11  142.250.208.150  83.418 ms
12  192.178.105.9  83.409 ms
13  142.250.229.89  83.398 ms
14  216.58.201.14  82.986 ms
"
yandex.ru,77.88.55.88,"traceroute to 77.88.55.88 (77.88.55.88), 30 hops max, 60 byte packets
 1  10.8.1.0  71.456 ms
 2  172.29.172.1  72.207 ms
 3  91.239.23.1  72.404 ms
 4  193.68.68.138  72.187 ms
 5  213.21.192.193  72.379 ms
 6  87.245.239.22  72.367 ms
 7  139.45.243.3  83.493 ms
 8  169.254.0.138  84.590 ms
 9  87.250.239.107  91.553 ms
10  *
11  *
12  *
13  *
14  *
15  *
16  *
17  *
18  *
19  *
20  *
21  *
22  *
23  *
24  *
25  *
26  *
27  *
28  *
29  *
30  *
"
github.com,140.82.121.4,"traceroute to 140.82.121.4 (140.82.121.4), 30 hops max, 60 byte packets
 1  10.8.1.0  72.939 ms
 2  172.29.172.1  72.913 ms
 3  91.239.23.1  73.227 ms
 4  193.68.68.138  73.197 ms
 5  194.8.8.201  73.517 ms
 6  195.13.208.101  73.793 ms
 7  194.68.123.180  81.532 ms
 8  94.103.180.3  99.916 ms
 9  94.103.180.2  101.266 ms
10  94.103.180.7  100.150 ms
11  94.103.180.75  101.249 ms
12  94.103.180.54  101.231 ms
13  94.103.180.24  100.112 ms
14  45.153.82.37  101.211 ms
15  *
16  *
17  *
18  *
19  *
20  *
21  *
22  *
23  *
24  *
25  *
26  *
27  *
28  *
29  *
30  *
"
stackoverflow.com,198.252.206.1,"traceroute to 198.252.206.1 (198.252.206.1), 30 hops max, 60 byte packets
 1  10.8.1.0  74.817 ms
 2  172.29.172.1  74.854 ms
 3  91.239.23.1  74.856 ms
 4  193.68.68.138  74.833 ms
 5  194.8.8.201  74.807 ms
 6  195.13.208.101  75.219 ms
 7  87.110.223.129  75.812 ms
 8  195.122.2.170  90.613 ms
 9  198.252.206.1  75.170 ms
"
wikipedia.org,185.15.59.224,"traceroute to 185.15.59.224 (185.15.59.224), 30 hops max, 60 byte packets
 1  10.8.1.0  74.160 ms
 2  172.29.172.1  75.143 ms
 3  91.239.23.1  75.920 ms
 4  193.68.68.138  75.940 ms
 5  213.21.192.193  75.931 ms
 6  87.245.239.22  75.924 ms
 7  87.245.233.216  97.864 ms
 8  *
 9  *
10  *
11  *
12  *
13  *
14  *
15  *
16  *
17  *
18  *
19  *
20  *
21  *
22  *
23  *
24  *
25  *
26  *
27  *
28  *
29  *
30  *
"
